Timestamp,CSI_3,CSI_4,CSI_5,CSI_6,CSI_7,CSI_8,CSI_9,CSI_10,CSI_11,CSI_12,CSI_13,CSI_14,CSI_15,CSI_16,CSI_17,CSI_18,CSI_19,CSI_20,CSI_21,CSI_22,CSI_23,CSI_24,CSI_25,CSI_26,CSI_27,CSI_28,CSI_29,CSI_30,CSI_31,CSI_32,CSI_33,CSI_34,CSI_35,CSI_36,CSI_37,CSI_38,CSI_39,CSI_40,CSI_41,CSI_42,CSI_43,CSI_44,CSI_45,CSI_46,CSI_47,CSI_48,CSI_49,CSI_50,CSI_51,CSI_52,CSI_53,CSI_54,CSI_55,CSI_56,CSI_57,CSI_58,CSI_59,CSI_60,CSI_61,CSI_62,CSI_63,CSI_64
1751782114,0,0,0,9.06,38.01,36.06,32.39,29.61,26.68,24.52,22.2,18.03,14,12,11.05,10.2,9.43,10.3,12.37,15.13,17,18.11,19.24,21.21,23.35,27.46,31.58,32.39,34.37,35.36,18.11,37,36.12,34.53,32.02,28.46,27.2,25,20.25,15.23,11.18,7.28,4,5,8.94,11.18,13.04,17.12,20.1,21.1,22.02,22,23.09,23.35,23.09,22.09,23.54,6.32,0,0,0,0
1751782161,0,0,0,1,1,1,0,0,1,1,0,1,1.41,1.41,1.41,1,1,0,0,0,1.41,1.41,1,1,1,1.41,1.41,1.41,1.41,1,1,1,1,0,0,1,1.41,1,0,0,1,1,0,0,1,1,1,1.41,1.41,1,1,0,1,1,1,0,0,0,0,0,0,0
1751782166,0,0,0,1.41,1.41,1.41,1.41,0,0,0,0,0,1,1,1,1,0,1,1.41,1.41,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1.41,1.41,1.41,0,0,1,1,1,1,0,0,0,0
1751782182,0,0,0,6.71,24.19,23.71,22.36,21.93,21.02,20.59,19.72,20.59,20.59,18.36,18.03,18.6,19.85,21.21,22.63,23.35,24.08,26.25,28.43,29.07,29.7,30.41,31.83,32.56,32.56,32.56,16.4,32.8,32.8,32.2,31.62,30.02,28.65,26.42,25.94,24.6,23.26,22.36,20.59,18.36,17.49,18.87,18.6,17.8,17.03,15.62,15.62,15,12.81,12.04,11.4,9.22,7.81,1.41,0,0,0,0
1751782186,0,0,0,5.1,23.09,23.09,24.08,24.19,22.2,22.2,22.09,21,21,20.02,20.22,21.38,22.56,21.84,21.19,22.85,24.17,26.4,27.86,29.15,30.08,31.95,32.89,35.11,36.69,35.44,17.26,36.5,36.35,35.23,35.36,35.36,32.39,31.4,31.14,28.02,26,24.08,23,21.02,19.1,20.4,20.62,18.68,17.72,16.76,14.56,14.56,14.14,12.17,11.18,9.22,7.28,1,0,0,0,0
1751782192,0,0,0,5.83,22.36,20.59,20.59,21.1,20.59,19.72,18.36,17.46,17.09,18.03,18.03,18.97,19.65,21.21,22.2,23.09,23.02,24.02,26.02,28,29,31,31.06,33.14,34.13,34.23,17.46,35.17,33.96,33.24,31.62,28.79,27.31,26.4,25.08,24.7,23.77,21.93,19.7,17.72,17.72,16.76,15.81,15.52,15.3,14.32,13.34,12.17,10.05,10.2,9.49,8.25,6.08,1,0,0,0,0
1751782212,0,0,0,5,23.02,23.85,23.85,23.02,22.2,22.8,22.2,20.81,21.1,20.12,20.62,21.19,22.14,23.09,23.54,25.32,26.31,27.29,28.16,30.15,31.26,32.39,32.56,32.76,33.96,33.96,17.72,35.44,33.84,32.31,30.46,29.55,29.15,27.73,25.5,23.26,22.85,21.54,20.25,18.38,17.46,16.76,16.49,15.52,13.34,11.4,11.18,11.18,10.2,9.06,8.06,7.07,7.07,1,0,0,0,0
1751782215,0,0,0,2.24,9.85,9.49,9.22,9.49,11.18,12.04,13.04,14.14,14.14,14.04,15.03,16.12,16.28,16.28,15.13,15.13,15.13,14.14,14.04,14,14.04,13.15,12.17,12.17,12.37,13,7.21,14.87,16.28,17.69,19.1,19.85,22.02,22.67,23.43,25,25,25,23.6,23.6,23.6,24.21,24.84,24.21,24.41,25,23.6,22.2,23.02,24.7,25.06,25.55,25.06,5.83,0,0,0,0
1751782221,0,0,0,1,2.24,3,4.12,5,7.07,7.81,8.6,8.06,8.6,8.6,8.49,9.22,8.6,7.62,6.32,6.32,5,5.39,5.83,7.81,7.81,8.6,9.43,10.82,11.66,11.66,5,11.18,10.3,9.43,8.06,7.07,6.4,5.39,4.12,5.1,6.71,7.21,7.81,8.49,8.49,7.81,7.81,7.81,7.07,5.66,4.24,3.61,3.16,3.16,2.24,1.41,1.41,1.41,0,0,0,0
1751782224,0,0,0,3.16,8.94,8.6,8.25,12.04,17.8,24.04,25.5,25.24,25.24,26.25,26.25,24.84,22.63,21.26,18.36,17.72,19.03,20.4,21.93,25.06,27.46,30.81,32.65,35.36,36.77,36.07,19.1,38.29,34.21,31.4,30,23.32,15.81,13.15,15.26,16.28,17.8,19.7,21.19,21.84,22.8,21.59,22.2,23.09,20.1,17.12,12.17,7.28,8.25,6.71,3.61,3.16,4.12,1.41,0,0,0,0
